structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset,dd_guardrail_pass
2,30,22.0,64.0,14.0,7.0,2.2,1.2,0.05,2,1.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,1671.5672746680957,1.7587039725104276,0.0624447376842601,6.328004642999807,ETHUSDT_1h,1
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,1645.623251941288,1.6798441286886834,0.1209747298394266,6.036932774345829,BTCUSDT_4h,1
3,33,22.0,58.0,16.0,6.8,2.2,1.4,0.1,2,1.0,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,1645.2362438775763,3.3161855760448637,0.028806912218571405,9.551186659311588,SOLUSDT_15m,1
3,24,28.0,58.0,22.0,8.0,1.8,1.0,0.0,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,15,0.6666666666666666,1640.955390961226,1.8187293708000172,0.10309653368363211,6.269124531510363,ETHUSDT_1h,1
2,33,24.0,60.0,20.0,7.2,1.8,1.2,0.15,4,1.0,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,1638.3344747697738,2.3791706074394985,0.038508109232951594,7.607514998313554,ETHUSDT_1h,1
2,36,12.0,58.0,16.0,7.4,1.8,1.0,0.05,3,1.4,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,31,0.6451612903225806,1636.6943306469038,1.698595955452459,0.12270647840986568,6.253508741806096,SOLUSDT_15m,1
5,27,18.0,58.0,22.0,7.4,1.8,1.2,0.2,2,2.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.6428571428571429,1623.7096106413046,1.6934353512864797,0.12257498798516432,5.887141063544486,BTCUSDT_4h,1
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,13,0.6153846153846154,1618.6230337812685,3.20938537131841,0.03628648692944367,9.111611238706681,SOLUSDT_15m,1
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.625,1585.7485293654172,2.2504956811631636,0.0797920732998057,7.1048636717923275,SOLUSDT_1h,1
5,27,18.0,58.0,22.0,7.4,1.8,1.2,0.2,2,2.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.6428571428571429,1577.858120565461,1.713259414739813,0.07839999999999996,6.013462664330802,SOLUSDT_4h,1
