structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.7727272727272727,648.5472658151521,2.386384503764521,0.019899999999999984,6.960707182435103,SOLUSDT_15m
2,28,24.0,64.0,18.0,7.8,2.4,1.2,0.1,5,1.0,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,33,0.6363636363636364,833.573712747404,2.266884438129278,0.014451485269519924,6.938533587742855,ETHUSDT_15m
4,24,22.0,60.0,24.0,7.6,2.4,1.0,0.0,2,1.0,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,18,0.6666666666666666,854.5271040487987,2.431744558093601,0.049009950100000234,6.930986369936,SOLUSDT_1h
4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,24,0.75,795.6735989737481,2.298681526368931,0.027759431701000203,6.914758356608608,ETHUSDT_15m
4,24,22.0,60.0,24.0,7.6,2.4,1.0,0.0,2,1.0,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,22,0.7272727272727273,806.9815328196801,2.3169118062067975,0.029701000000000012,6.882611236142367,ETHUSDT_15m
4,24,16.0,58.0,18.0,6.8,1.8,0.8,0.05,2,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,24,0.8333333333333334,540.2886954957066,2.3340818997951565,0.01989999999999992,6.878752495086021,SOLUSDT_1h
4,30,18.0,60.0,20.0,7.0,1.8,1.2,0.0,4,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7037037037037037,828.0553559337804,2.262798339099618,0.025994586451391046,6.871223830334398,ETHUSDT_15m
3,22,22.0,66.0,18.0,7.2,2.2,1.0,0.1,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,17,0.7058823529411765,673.3876395873212,2.429626700685819,0.034489619495798686,6.827995711883327,ETHUSDT_1h
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,20,0.7,516.9001356812587,2.4393228192713075,0.019118568002324966,6.788190070216899,SOLUSDT_1h
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,23,0.6956521739130435,881.7874744519559,2.236023629335917,0.02970099999999995,6.768209993993356,ETHUSDT_15m
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,24,0.75,761.0414756985174,2.2437393465904822,0.029701000000000012,6.764417168879483,ETHUSDT_15m
2,22,14.0,60.0,18.0,6.8,1.8,0.8,0.05,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,37,0.7567567567567568,751.3282909963309,2.0953387683240132,0.02299732094820777,6.74814899993487,SOLUSDT_15m
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,16,0.6875,462.6084694751953,2.49164182236368,0.01789221599999994,6.743465466202555,ETHUSDT_4h
4,18,14.0,60.0,22.0,7.8,2.4,1.0,0.1,5,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.72,779.3185991677328,2.23066059304847,0.02981437711527295,6.731196653918855,ETHUSDT_15m
